time_iso8601,forks_cumulative
2025-06-25 00:00:00+00:00,1
2025-07-17 00:00:00+00:00,2
2025-08-02 00:00:00+00:00,3
2025-08-08 00:00:00+00:00,4
2025-08-19 00:00:00+00:00,5
2025-09-05 00:00:00+00:00,6
2025-11-02 00:00:00+00:00,7
2025-11-25 00:00:00+00:00,8
2025-12-12 00:00:00+00:00,9
2025-12-14 00:00:00+00:00,11
2026-01-04 00:00:00+00:00,12
2026-01-16 00:00:00+00:00,13
2026-01-26 00:00:00+00:00,14
2026-01-29 00:00:00+00:00,15
2026-02-12 00:00:00+00:00,16
2026-02-20 00:00:00+00:00,17
2026-03-12 00:00:00+00:00,18
2026-03-23 00:00:00+00:00,19
2026-04-29 00:00:00+00:00,20
2026-06-06 00:00:00+00:00,21
2026-06-13 00:00:00+00:00,22
2026-06-16 00:00:00+00:00,23
