referrer,views_total,views_unique
learn.microsoft.com,199,36
Google,80,16
github.com,29,12
Bing,18,8
statics.teams.cdn.office.net,6,4
linkedin.com,2,2
copilot.microsoft.com,1,1
microsoft.github.io,1,1
perplexity.ai,1,1
