referrer,views_total,views_unique
Google,132,27
learn.microsoft.com,117,21
github.com,42,16
Bing,39,23
teams.public.onecdn.static.microsoft,15,9
chatgpt.com,14,3
DuckDuckGo,7,3
Yahoo,4,1
statics.teams.cdn.office.net,1,1
teams.df.onecdn.static.microsoft,1,1
