referrer,views_total,views_unique
learn.microsoft.com,300,35
Bing,167,27
github.com,68,13
Google,52,19
statics.teams.cdn.office.net,10,2
perplexity.ai,10,1
copilot.microsoft.com,8,2
microsoft.github.io,7,1
DuckDuckGo,1,1
