referrer,views_total,views_unique
learn.microsoft.com,221,37
Google,50,17
github.com,38,13
Bing,35,17
statics.teams.cdn.office.net,22,2
perplexity.ai,15,1
Yahoo,8,2
DuckDuckGo,4,1
copilot.microsoft.com,3,1
en.wikipedia.org,3,1
