referrer,views_total,views_unique
Google,139,27
learn.microsoft.com,109,20
github.com,49,19
Bing,42,26
chatgpt.com,20,4
teams.public.onecdn.static.microsoft,10,7
DuckDuckGo,7,3
Yahoo,4,1
teams.df.onecdn.static.microsoft,1,1
