referrer,views_total,views_unique
learn.microsoft.com,145,26
Google,36,12
Bing,34,6
github.com,33,14
statics.teams.cdn.office.net,10,3
teams.public.onecdn.static.microsoft,5,3
DuckDuckGo,2,2
linkedin.com,1,1
