referrer,views_total,views_unique
learn.microsoft.com,395,52
github.com,117,16
statics.teams.cdn.office.net,46,6
linkedin.com,39,20
Bing,37,16
com.linkedin.android,25,9
Google,25,5
chatgpt.com,11,3
m365.cloud.microsoft,3,2
proxypages.nsfcns.c1.statefarm,2,1
