referrer,views_total,views_unique
learn.microsoft.com,338,30
Bing,98,27
Google,57,13
github.com,45,11
perplexity.ai,10,1
statics.teams.cdn.office.net,4,3
copilot.microsoft.com,4,1
linkedin.com,3,1
chatgpt.com,1,1
