referrer,views_total,views_unique
learn.microsoft.com,441,45
Bing,100,28
Google,56,17
github.com,22,11
perplexity.ai,10,1
copilot.microsoft.com,8,2
statics.teams.cdn.office.net,7,4
microsoft.github.io,7,1
linkedin.com,3,1
DuckDuckGo,1,1
