referrer,views_total,views_unique
learn.microsoft.com,197,33
Google,89,11
Bing,64,18
github.com,63,13
perplexity.ai,53,1
DuckDuckGo,8,2
microsoft.github.io,8,1
linkedin.com,6,2
statics.teams.cdn.office.net,5,2
Yahoo,1,1
