referrer,views_total,views_unique
Google,241,29
learn.microsoft.com,217,16
github.com,104,16
Bing,98,28
teams.public.onecdn.static.microsoft,30,8
chatgpt.com,12,7
search.brave.com,12,1
DuckDuckGo,11,1
apchq-crm.visualstudio.com,7,1
linkedin.com,6,5
