referrer,views_total,views_unique
learn.microsoft.com,162,22
github.com,93,18
teams.public.onecdn.static.microsoft,77,19
Google,60,37
Bing,44,26
chatgpt.com,9,6
DuckDuckGo,9,1
claude.ai,2,1
apchq-crm.visualstudio.com,1,1
linkedin.com,1,1
