referrer,views_total,views_unique
learn.microsoft.com,264,45
Google,53,19
github.com,37,14
Bing,32,17
statics.teams.cdn.office.net,22,2
perplexity.ai,15,1
DuckDuckGo,9,2
Yahoo,8,2
en.wikipedia.org,3,1
search.brave.com,1,1
