referrer,views_total,views_unique
learn.microsoft.com,257,37
Google,91,13
Bing,71,18
github.com,53,13
perplexity.ai,52,1
linkedin.com,6,2
repos.opensource.microsoft.com,6,1
statics.teams.cdn.office.net,4,2
DuckDuckGo,1,1
Yahoo,1,1
