referrer,views_total,views_unique
learn.microsoft.com,467,29
Google,95,11
Bing,45,15
statics.teams.cdn.office.net,24,6
github.com,16,9
linkedin.com,14,1
chatgpt.com,7,1
DuckDuckGo,1,1
