referrer,views_total,views_unique
Google,155,28
learn.microsoft.com,113,21
github.com,52,22
Bing,51,23
chatgpt.com,21,3
teams.public.onecdn.static.microsoft,18,10
DuckDuckGo,6,2
Yahoo,4,1
statics.teams.cdn.office.net,2,1
teams.df.onecdn.static.microsoft,1,1
