referrer,views_total,views_unique
learn.microsoft.com,253,30
Bing,105,26
Google,70,21
github.com,36,7
statics.teams.cdn.office.net,34,4
search.brave.com,22,3
chatgpt.com,4,1
copilot.microsoft.com,3,1
en.wikipedia.org,3,1
Yahoo,2,1
